,Country,gdp_per_capita_2012,gdp_per_capita_2013,gdp_per_capita_2014,gdp_per_capita_2015,gdp_per_capita_2016,gdp_per_capita_2017
48,Cuba,6497.32111313561,6837.71289192677,7133.34209494342,7694.0119195241,8060.79588647979,8541.2106734664
49,Curacao,20587.397358013,20462.7179539813,20258.0096948833,19951.3279030441,19555.3658492891,19457.5315232205
50,Cayman Islands,72783.32043760401,73515.8953177856,74990.4332223775,76280.4862528245,78296.0999272332,81124.5134794821
51,Cyprus,28912.1569390403,27729.1926990735,27129.6261211298,23333.7149112129,24532.5190588269,26338.694344313597
52,Czech Republic,19729.870511176297,19916.0193873722,19744.5586092159,17715.6168523009,18463.386575656397,20379.8960396417
53,Germany,43858.3630551076,46285.764068840705,47959.9932737599,41139.5445685533,42098.9204453545,44349.589655275704
54,Djibouti,1559.24065068226,2312.72880330353,2464.3278411936103,2658.9787526018104,2802.19705115707,2914.3838563125105
55,Dominica,6848.3942266793,7016.67647144723,7318.1037828994495,7596.43506226258,8080.968623411859,7274.721333329179
56,Denmark,58507.5080517852,61191.1937042028,62548.9847332908,53254.8560039631,54663.9983719195,57141.05983504139
57,Dominican Republic,6110.36965247193,6238.13360822241,6608.8281018750795,6921.517228379499,7280.880109227621,7609.33879943715
58,Algeria,5592.257099163559,5499.58148704572,5493.025589962629,4177.8925154688895,3946.4439768983502,4044.2766003987604
59,East Asia & Pacific (excluding high income),5378.84238954118,5891.457765777281,6306.328414142779,6522.6743637441605,6612.24847115179,7173.39830759621
60,Early-demographic dividend,3362.38279072181,3373.30668044576,3444.08795085167,3297.40525634055,3328.5240551742895,3548.2880506688202
61,East Asia & Pacific,9420.497881653679,9466.23545167095,9703.28402570889,9598.278554973142,9857.98086489345,10467.702191610699
62,Europe & Central Asia (excluding high income),10189.2239751585,10729.4077397626,9897.827942074971,7461.21170155524,7043.481346738041,7863.6790493156
63,Europe & Central Asia,25068.3281202146,26071.852058212597,26301.0829908345,22551.6008910796,22371.682387291403,23597.42400545
64,Ecuador,5682.045006553531,6056.3308269681,6377.09153014217,6124.49164262072,6060.093329044151,6213.50127649921
65,"Egypt, Arab Rep.",3232.64889178794,3264.3787871527697,3378.83135785555,3598.9709482021003,3525.02016450058,2440.51017311107
66,Euro area,37598.0422605763,39102.9130889748,39857.2917635599,34381.5547912416,35142.3154719071,37095.120270331296
67,Eritrea,,,,,,
68,Spain,28324.4293363918,29059.5479522321,29461.550333738902,25732.0183647454,26505.3432155204,28170.434565980697
69,Estonia,17534.4215441923,19174.100729108002,20367.1026566799,17522.230186252,18237.2958432683,20388.209553033797
70,Ethiopia,467.077927241718,499.531572059907,566.926466461984,640.5418913136821,717.124592933285,768.5223075793859
71,European Union,33158.7914088519,34564.1125052742,35243.2073712896,30473.740256369903,31162.6963930937,33029.9879503522
72,Fragile and conflict affected situations,2457.00032221668,2523.04276278452,2710.81219285541,2341.68650863862,2049.2747303011397,2030.05691862279
73,Finland,47710.7902169415,49878.043244453605,50260.2998588958,42784.6983616432,43784.283962209796,46316.7454588326
74,Fiji,4591.55578402956,4840.69371615802,5605.57033080847,5390.7452371174495,5651.318066300661,6101.03084255946
75,France,40874.7035053457,42592.934094334196,43011.2631028417,36638.184929157,37037.3741861219,38812.161034168195
76,Faroe Islands,49459.7172338372,54853.6255967876,59440.0307606004,52404.6593331379,55822.9147203438,58622.840815806
77,"Micronesia, Fed. Sts.",3131.38671463839,2994.6793044200704,2971.45729017367,2906.37678497635,3014.7003583904198,3289.7011457127696
78,Gabon,9813.477702824399,9683.576290286741,9663.42923977641,7384.71587003183,6984.45101873395,7230.396392684259
79,United Kingdom,42462.771568145,43444.533001954,47425.6076805194,44974.8318771782,41064.1334316223,40361.4173832159
80,Georgia,4421.818242280129,4623.74572473419,4739.188338464211,4014.1859441932897,4062.1698875737898,4357.00093554628
81,Ghana,1587.5612371999698,2345.39290574885,1971.0333467541102,1743.8509964087,1931.38947036943,2025.9324238675101
82,Gibraltar,,,,,,
83,Guinea,717.050737885584,769.003943268326,787.23807021997,769.2560137460159,732.96657072192,856.565269750468
84,"Gambia, The",742.781137796627,700.514971960668,607.428404115004,649.5108294177929,683.997653898689,676.655924552125
85,Guinea-Bissau,616.411686249548,634.48244599306,622.481716725217,603.1585129424041,661.0076549061811,736.725566231783
86,Equatorial Guinea,21711.1532298542,20390.7193153023,19394.0299929972,11283.46560612,9250.33195308226,9667.912251730459
87,Greece,22242.681934771,21874.8195041667,21760.9797994918,18167.773716916203,18116.4596223336,18930.218585643303
88,Grenada,7444.5047675973,7789.776380799771,8369.88675513221,9096.870645954119,9628.347486620129,10152.8328118872
89,Greenland,45936.76595169889,47535.5899453685,50484.92757390231,44536.4013080999,48181.874188064,50321.3687543442
90,Guatemala,3408.78491640236,3522.7736977543395,3779.64232768084,3994.6369128847496,4173.30166619474,4451.45098990197
91,Guam,32494.5623640591,33265.3811866066,34394.0974809957,35278.9259389693,35562.8379083283,35615.8046274371
92,Guyana,3788.14674878178,3934.86526171904,4031.6006624567403,4166.12851559884,4542.62206666493,4586.05457171312
93,High income,41343.838833113,41628.4805545483,42293.5445119279,39730.9195530976,40332.2633871007,41971.2373450865
94,"Hong Kong SAR, China",36730.8767001128,38403.7777145477,40315.2855640552,42431.8882817277,43731.1068245299,46165.8565115953
95,Honduras,2144.3426111782,2102.59316626494,2206.05193412773,2302.20137936204,2342.5846511956797,2453.72789597457
96,Heavily indebted poor countries (HIPC),862.617916300708,937.580760789698,962.9292204666431,927.484595463214,897.493255355095,929.4107113423511
97,Croatia,13238.1019332831,13642.1936643621,13600.194390748,11782.8990799829,12360.4838164919,13412.3382902297
98,Haiti,769.7493809592489,815.8200152297861,831.873948899917,815.728284410317,735.301770321704,765.727294324274
99,Hungary,12918.247520538798,13687.246101281002,14246.109801446999,12651.568342300401,12992.375667515,14457.608763613998
100,IBRD only,5566.79598158951,5823.53208302828,5965.9131453474,5581.20551384289,5571.60102665915,6091.709776707819
101,IDA & IBRD total,4528.97227389441,4736.5284972460995,4851.42461790789,4537.97692824524,4503.14517758388,4885.47424281036
