,Country,gdp_per_capita_2012,gdp_per_capita_2013,gdp_per_capita_2014,gdp_per_capita_2015,gdp_per_capita_2016,gdp_per_capita_2017
249,United States,51610.6052783379,53117.6678308301,55047.725560454404,56822.5188202456,57927.5168515062,59957.72585130321
250,Uzbekistan,2137.0251221179997,2281.41097296841,2492.33664277468,2615.0251344870003,2567.79920656883,1826.56691924216
251,St. Vincent and the Grenadines,6390.31063156115,6639.607145950239,6684.80736732912,6920.8780738080395,7075.065820349441,7212.96018080962
252,"Venezuela, RB",12985.505325106498,12456.7124535391,16054.490513096202,,,
253,British Virgin Islands,,,,,,
254,Virgin Islands (U.S.),37849.7287205036,34819.1477546185,33573.0970301435,34797.14046978,35931.5412519766,35938.0243875154
255,Vietnam,1735.14127643805,1886.6718963367102,2030.26195473318,2085.10148409879,2192.2145386656603,2365.62166567374
256,Vanuatu,3133.0902092034803,3124.23307756588,3088.2583026550396,2801.93984778858,2889.8530362340302,3082.35632289041
257,World,10605.208321960401,10781.855305371899,10952.3444187853,10246.5073623909,10281.9087997747,10817.4819474952
258,Samoa,4022.1991196481395,4037.5093146798104,3937.7587117641797,4073.6660098064203,4109.16513496372,4258.48626965259
259,Kosovo,3596.8046546578103,3891.2663634386604,4080.33071724595,3603.02550073134,3780.0036886723296,4045.6142088075703
260,"Yemen, Rep.",1446.53635351496,1607.1523649890398,1673.14635369478,1395.4396331747698,1033.73304347934,882.3957585109661
261,South Africa,7501.4699839525,6832.456890967011,6433.187276628941,5734.633629153311,5272.91842475419,6132.4798409721
262,Zambia,1763.07273337195,1878.90700132351,1763.05729765435,1337.7961101408698,1280.5788983473199,1534.86537052245
263,Zimbabwe,1304.96980167411,1430.0008179557199,1434.89934002278,1445.07106198798,1464.5835290394598,1548.1700557255201
