,CPI_2017,CPI_abs_growth,other_eco_indices,recycling_%_waste,plastic_%_waste,hazardous_waste_norm,e_waste_norm,total_municipal_solid_waste_norm,national_agency_solid_waste_management,national_law_solid_waste_management,SDI_2017,SDI_abs_growth,CO2_capita_2017,CO2_capita_growth,gini_index_2017,gini_growth,moderate_poverty_%_$5.50_2017,moderate_pov_growth,extreme_poverty_%_$1.90_2017,extreme_pov_growth,gdp_per_capita_2017,gdp_capita_growth,hdi_2017,2013-2018_hdi_rank_change,2010-2018_hdi_annual_growth,gender_eq_2017,gender_abs_growth,homicide_rate_2017,homicide_growth
23,40.0,1.0,44.0,0.19899999999999998,0.098,0.025,0.005,0.153,1.0,1.0,0.496,-0.10199999999999998,6.678,0.0012324563223917728,38.5,-0.018185016234759654,24.0,-0.11576916761008793,0.5,-0.4012971444585023,8879.438,0.07047377996149096,0.753,7.0,0.95,3.25,-0.03600000000000003,0.562,-0.07164145035916203
24,37.0,5.0,41.333333333333336,0.07,0.14,0.08800000000000001,0.005,0.25,1.0,1.0,0.7390000000000001,0.012000000000000122,1.88,0.011218994093603829,38.1,-0.008193628839813782,55.8,-0.048109050876116166,4.5,-0.13881237266310953,3837.652,0.007640312650039949,0.7040000000000001,0.0,0.74,3.25,-0.03600000000000003,0.435,-0.0578537405956715
25,72.0,-2.0,75.0,0.049,0.11,0.027999999999999997,0.004,0.34600000000000003,0.0,1.0,0.287,-0.038000000000000034,8.937999999999999,-0.003410781121592321,32.9,0.0,1.2,0.0,0.7,0.0,38386.511,-0.04610129264088536,0.9129999999999999,0.0,0.42,3.25,-0.03600000000000003,0.24,-0.06396313156527056
26,49.0,0.0,52.0,0.175,0.15,0.09699999999999999,0.009000000000000001,0.429,1.0,1.0,0.449,-0.13699999999999996,6.6739999999999995,-0.014372393016915619,41.0,-0.0014570241606571832,2.7,-0.07559825939014653,0.0,0.0,10254.234,-0.010636870185908087,0.802,-1.0,0.49,3.25,-0.03600000000000003,2.128,0.005444968060354327
27,38.0,2.0,39.0,0.19899999999999998,0.145,0.048,0.005,0.958,1.0,1.0,0.7340000000000001,-0.0009999999999998899,6.267,0.017368694961674924,32.3,-0.009037627357367906,30.6,0.05421869336945995,0.5,0.04563955259127317,3669.4179999999997,-0.0335399303332633,0.7290000000000001,-1.0,0.66,4.0,0.0,6.1339999999999995,-0.02731424686231665
28,28.0,13.0,23.0,0.19899999999999998,0.121,0.048,0.001,0.10099999999999999,1.0,1.0,0.625,0.03400000000000003,0.57,0.09871479219500001,30.7,-0.042270907556313575,54.3,-0.026173411379170175,1.4,-0.2184129416295345,1291.542,0.020698187499286202,0.5770000000000001,2.0,1.39,3.0,-0.28600000000000003,2.258,-0.0416357597537641
29,32.0,5.0,31.666666666666668,0.08,0.09,0.008,0.002,0.159,1.0,0.0,0.602,0.025999999999999912,0.9309999999999999,0.031828032795894856,33.5,0.0176098130122595,75.6,-0.010258580043277954,4.0,-0.0839194542993893,1464.993,0.04104102362170958,0.5579999999999999,-1.0,0.85,2.5,0.0,3.9610000000000003,-0.11733312766640525
30,35.0,1.0,34.666666666666664,0.28,0.106,0.042,0.003,0.142,1.0,1.0,0.754,0.02400000000000002,1.206,0.033866142618416806,44.4,-0.009199987381264041,54.9,-0.017281562122121508,6.0,-0.10417416670380442,3123.2340000000004,0.029986549546361596,0.7090000000000001,3.0,0.73,3.25,-0.03600000000000003,8.392000000000001,-0.0077979960538658855
31,53.0,-3.0,48.666666666666664,0.58,0.243,0.048,0.011000000000000001,0.359,1.0,1.0,0.258,-0.063,11.663,0.004413494925457728,31.6,0.0,1.2,0.0,0.2,0.0,31616.842999999997,0.04421266899353449,0.904,0.0,0.33,3.25,-0.03600000000000003,0.589,-0.07483519365912228
32,36.0,-4.0,38.666666666666664,0.128,0.07,0.048,0.0,0.124,1.0,1.0,0.831,0.016000000000000014,1.077,0.029784974886768234,39.8,0.003042652598229223,41.7,-0.04355573735087659,0.9,-0.1558791201558899,4077.0440000000003,0.04003171958265028,0.7759999999999999,2.0,0.49,4.0,0.0,2.3,-0.06920594260097501
