,Country,Region,CPI_2012,CPI_2013,CPI_2014,CPI_2015,CPI_2016,CPI_2017,World Economic Forum EOS,Global Insight Country Risk Ratings,PRS International Country Risk Guide,recycling_%_waste,plastic_%_waste,hazardous_waste_norm,e_waste_norm,total_municipal_solid_waste_norm,national_agency_solid_waste_management,national_law_solid_waste_management,CO2_capita_2012,CO2_capita_2013,CO2_capita_2014,CO2_capita_2015,CO2_capita_2016,CO2_capita_2017,SDI_2012,SDI_2013,SDI_2014,SDI_2015,SDI_2016,SDI_2017,gender_eq_2012,gender_eq_2013,gender_eq_2014,gender_eq_2015,gender_eq_2016,gender_eq_2017,hdi_2012,hdi_2013,hdi_2014,hdi_2015,hdi_2016,hdi_2017,2013-2018_hdi_rank_change,2010-2018_hdi_annual_growth,homicide_rate_2012,homicide_rate_2013,homicide_rate_2014,homicide_rate_2015,homicide_rate_2016,homicide_rate_2017,gini_index_2012,gini_index_2013,gini_index_2014,gini_index_2015,gini_index_2016,gini_index_2017,income_share_top10%_2012,income_share_top10%_2013,income_share_top10%_2014,income_share_top10%_2015,income_share_top10%_2016,income_share_top10%_2017,moderate_poverty_%_$5.50_2012,moderate_poverty_%_$5.50_2013,moderate_poverty_%_$5.50_2014,moderate_poverty_%_$5.50_2015,moderate_poverty_%_$5.50_2016,moderate_poverty_%_$5.50_2017,extreme_poverty_%_$1.90_2012,extreme_poverty_%_$1.90_2013,extreme_poverty_%_$1.90_2014,extreme_poverty_%_$1.90_2015,extreme_poverty_%_$1.90_2016,extreme_poverty_%_$1.90_2017,gdp_per_capita_2012,gdp_per_capita_2013,gdp_per_capita_2014,gdp_per_capita_2015,gdp_per_capita_2016,gdp_per_capita_2017
10,Guatemala,Americas,33.0,29.0,32.0,28.0,28.0,28.0,35.0,22.0,32.0,0.094,0.173,0.001,0.003,0.17,0.0,0.0,0.933,0.933,0.933,0.933,0.981,0.928,0.66,0.663,0.693,0.695,0.697,0.699,4.25,4.188,4.0,4.1,4.1,4.1,0.6,0.616,0.632,0.647,0.648,0.649,2.0,0.98,33.757,33.682,31.388,29.399,27.257,26.072,48.3,48.3,48.3,48.3,48.3,48.3,38.0,38.0,38.0,38.0,38.0,38.0,49.1,49.1,49.1,49.1,49.1,49.1,8.8,8.8,8.8,8.8,8.8,8.8,3408.785,3522.774,3779.642,3994.637,4173.302,4451.451
11,Haiti,Americas,19.0,19.0,19.0,17.0,20.0,20.0,20.0,22.0,15.0,0.094,0.127,0.021,0.001,0.213,0.0,0.0,0.3,0.3,0.3,0.3,0.3,0.3,0.518,0.523,0.528,0.531,0.534,0.537,3.0,3.0,3.0,3.0,2.5,2.5,0.478,0.483,0.488,0.492,0.497,0.501,-1.0,0.92,10.077,9.99,9.29,10.014,9.483,9.483,41.1,41.1,41.1,41.1,41.1,41.1,31.2,31.2,31.2,31.2,31.2,31.2,78.6,78.6,78.6,78.6,78.6,78.6,24.5,24.5,24.5,24.5,24.5,24.5,769.749,815.82,831.874,815.728,735.302,765.727
12,Honduras,Americas,28.0,26.0,29.0,31.0,30.0,30.0,26.0,22.0,41.0,0.094,0.144,0.0,0.0,0.237,0.0,1.0,1.067,1.067,1.067,1.067,1.002,1.017,0.643,0.646,0.649,0.657,0.665,0.673,4.0,3.5,3.5,3.5,3.5,3.5,0.598,0.603,0.608,0.613,0.618,0.621,0.0,0.51,83.003,73.092,65.78,56.491,55.551,40.98,56.1,52.6,50.4,49.6,51.1,50.5,44.1,40.2,38.1,37.0,37.6,37.7,57.8,56.0,54.9,54.7,53.6,53.6,20.1,17.7,16.4,16.6,18.4,17.6,2144.343,2102.593,2206.052,2302.201,2342.585,2453.728
13,Mexico,Americas,34.0,34.0,35.0,35.0,30.0,30.0,29.0,34.0,24.0,0.05,0.109,0.0,0.008,0.422,1.0,1.0,3.661,3.661,3.661,3.661,3.654,3.615,0.776,0.77,0.772,0.775,0.778,0.781,4.25,4.188,4.0,4.1,4.1,4.1,0.746,0.75,0.754,0.759,0.764,0.765,2.0,0.47,22.142,19.409,16.626,17.038,19.913,25.709,48.7,48.7,48.7,48.7,46.3,46.3,38.9,39.2,39.5,38.2,36.9,36.9,31.6,32.45,33.3,29.35,25.4,25.4,3.8,3.75,3.7,2.95,2.2,2.2,10241.728,10725.183,10922.376,9605.952,8739.756,9278.418
14,Nicaragua,Americas,29.0,28.0,28.0,27.0,26.0,26.0,28.0,22.0,24.0,0.094,0.119,0.0,0.002,0.266,1.0,1.0,0.831,0.831,0.831,0.831,0.831,0.821,0.682,0.688,0.699,0.702,0.705,0.708,4.0,4.0,4.0,4.0,4.0,4.0,0.623,0.63,0.637,0.644,0.649,0.653,0.0,0.74,11.249,9.798,8.547,8.42,7.186,7.186,46.2,46.2,46.2,46.2,46.2,46.2,37.2,37.2,37.2,37.2,37.2,37.2,35.4,35.4,35.4,35.4,35.4,35.4,3.4,3.4,3.4,3.4,3.4,3.4,1760.454,1811.639,1934.07,2049.85,2107.567,2159.163
15,Panama,Americas,38.0,35.0,37.0,39.0,38.0,38.0,43.0,47.0,32.0,0.094,0.12,0.021,0.001,0.371,1.0,1.0,2.545,2.545,2.545,2.545,2.526,2.345,0.801,0.808,0.81,0.808,0.806,0.804,4.25,4.188,4.0,4.1,4.1,4.1,0.772,0.775,0.778,0.782,0.788,0.793,0.0,0.6,16.894,17.286,15.482,11.868,10.032,9.667,51.7,51.5,50.5,50.8,50.4,49.9,39.7,39.6,38.5,39.0,37.9,37.7,18.9,18.2,16.9,15.4,14.6,14.1,4.1,2.8,3.5,2.0,2.2,2.5,10722.284,11889.128,12796.07,13630.308,14343.964,15150.346
16,Paraguay,Americas,25.0,24.0,24.0,27.0,30.0,30.0,23.0,22.0,32.0,0.094,0.119,0.021,0.005,0.274,1.0,1.0,0.881,0.881,0.881,0.881,1.012,1.124,0.719,0.727,0.73,0.733,0.736,0.739,4.25,4.188,4.0,4.1,4.1,4.1,0.704,0.709,0.714,0.718,0.718,0.722,2.0,0.56,10.107,9.278,8.758,9.224,9.87,7.878,47.6,47.9,50.7,47.6,47.9,48.8,36.9,37.3,40.7,36.7,37.3,39.2,22.4,19.1,18.6,18.9,19.2,17.5,3.2,1.7,2.2,1.7,1.5,1.0,5183.083,5926.833,6102.943,5406.704,5319.41,5680.581
17,Peru,Americas,38.0,38.0,38.0,36.0,35.0,35.0,39.0,34.0,34.0,0.04,0.105,0.021,0.006,0.27,1.0,1.0,1.585,1.585,1.585,1.585,1.642,1.545,0.778,0.781,0.79,0.788,0.786,0.784,4.25,4.188,4.0,4.1,4.1,4.1,0.738,0.742,0.746,0.75,0.755,0.756,4.0,0.65,6.67,6.761,6.899,7.374,7.874,7.909,44.4,43.9,43.2,43.4,43.6,43.3,33.3,32.7,32.2,32.6,32.6,32.3,26.9,26.3,25.3,24.4,24.6,24.2,4.8,4.4,3.7,3.6,3.5,3.4,6528.972,6756.753,6672.88,6229.102,6204.997,6710.508
18,United States,Americas,73.0,73.0,74.0,76.0,74.0,74.0,65.0,71.0,76.0,0.346,0.129,0.09,0.008,0.81,1.0,1.0,15.338,15.338,15.338,15.338,14.949,14.606,0.198,0.19,0.184,0.184,0.184,0.184,4.25,4.188,4.0,4.1,4.1,4.1,0.913,0.914,0.916,0.917,0.919,0.919,-3.0,0.12,4.731,4.526,4.445,4.95,5.391,5.317,40.7,40.7,40.7,40.7,41.1,41.1,30.0,30.0,30.133,30.267,30.4,30.4,1.7,1.7,1.7,1.7,1.7,1.7,1.0,1.0,1.0,1.0,1.0,1.0,51610.605,53117.668,55047.726,56822.519,57927.517,59957.726
19,Uruguay,Americas,72.0,73.0,73.0,74.0,71.0,71.0,68.0,59.0,76.0,0.08,0.11,0.021,0.011,0.367,1.0,1.0,1.857,1.857,1.857,1.857,1.837,1.699,0.6,0.598,0.573,0.551,0.529,0.507,4.25,4.188,4.0,4.1,4.1,4.1,0.794,0.797,0.8,0.802,0.806,0.807,-1.0,0.54,7.902,7.671,7.881,8.587,7.827,8.264,39.9,40.4,40.1,40.1,39.7,39.5,29.2,30.0,29.8,29.8,29.6,29.6,5.5,5.0,4.2,4.0,3.7,2.9,0.2,0.2,0.1,0.1,0.1,0.1,15171.585,16973.674,16831.973,15613.764,15387.144,17322.147
