,Country,homicide_rate_2012,homicide_rate_2013,homicide_rate_2014,homicide_rate_2015,homicide_rate_2016,homicide_rate_2017
29,Burkina Faso,0.6939729116399999,0.70873004888,0.73922316402,0.64602993073,1.1208627962,1.2504405198000001
30,Burundi,5.407748568200001,5.4505612086,5.7292031197,4.5373863906,6.054537365599999,
31,Cabo Verde,11.083819405,10.552233556000001,12.541580162,8.7662461409,11.673005234000001,7.0697805949
32,Cameroon,4.0958299470999995,,0.9346679039,1.154586912,1.1535303315,1.388093415
33,Canada,1.5692099924,1.4420678969999998,1.4636469630000002,1.6931901668,1.682106961,1.7967939805000002
34,Cayman Islands,,8.342649291699999,8.2171969498,,,
35,Central African Republic,,,,,20.120400654,
36,Chile,2.4942014127000003,3.1642127988,2.4663593928,3.3946681227999997,3.3609620523,4.2175509131
37,China,0.81534082885,0.76443188394,0.72049529638,0.65394419747,0.61058689229,0.56227146084
"38,""China, Hong Kong Special Administrative Region"",0.38315008116,0.8746215851000001,0.37843386685999997,0.3061511897,0.38655127375,0.32848296303"
"39,""China, Macao Special Administrative Region"",0.70917333437,0.17319976167999998,0.0,0.16608729880999998,0.16317898777,0.32124488819"
"40,""Taiwan"",0.76669714324,0.71728715848,,0.8150279955699999,,"
41,Colombia,35.680396624000004,33.16235475,28.408881626,26.897770605999998,25.743617318000002,25.019503230999998
42,Cook Islands,3.4876733855,,,,,
43,Costa Rica,8.6817350586,8.667026140900001,9.9470533158,11.489736076,11.797517051,12.181928927000001
44,Croatia,1.1871870395,1.0756225809,0.8459604682699999,0.8741105924700001,1.0454755738,1.0997294426000002
45,Cuba,5.516512583300001,5.973735770499999,5.3064900407,5.465891292999999,5.0462686372,
46,Cyprus,1.9382474366999998,1.04907393,0.9546149994299998,1.292004131,1.1109316529,0.59337874094
47,Czechia,0.9923164465000001,0.85013699958,0.7647927921400001,0.8300798291500001,0.61211797717,0.62024059321
48,Denmark,0.83765393451,0.8513427804000001,1.306451274,1.0898808954,0.9805044205,1.2386002979000001
49,Dominica,,,12.659830357999999,12.644889357,22.438189799,26.588301147
50,Dominican Republic,22.837772466999997,19.685066797,17.805878931,,15.541841889,11.566509665999998
51,Ecuador,12.427217895,10.982033838,8.2184917695,6.489011672899999,5.8395077689,5.790761899800001
52,Egypt,2.5537407964,,,,,
53,El Salvador,41.584360946,40.104843925,62.286302858999996,105.23118846,83.00639209,61.708257385
54,Estonia,4.7613181445,3.9421773555,3.1148553530000003,3.4211946812000003,2.5066330828,2.1979870986
55,Eswatini,9.6360090245,9.3849801673,10.776039203,10.144578357,10.412982476,11.55752804
56,Ethiopia,8.7924785474,,,,,
57,Fiji,2.3119649968,2.1950041705000003,2.3082773672,,,
58,Finland,1.6251847493,1.6363350213999999,1.6113055053999998,1.4960424205,1.3460139978,1.251956863
59,France,1.2333982084000001,1.2160857437,1.2337688132,1.5701316524000002,1.3515270942,1.27077123
60,Georgia,,,2.6763743058,,0.9712468593200001,
61,Germany,0.81385525966,0.84016663732,0.8790629189299999,0.8338691635600001,1.1716216448,0.98356599145
62,Ghana,2.1541399454,2.0708337128,1.9945284537999999,1.8851526918000001,1.9275367657,2.0912410173
63,Greece,1.5397288537,1.4245145548,0.99986357002,0.8724417872600001,0.79131937716,0.81366587795
64,Greenland,14.165058342,12.408707367,7.094336945499999,7.0949661215,5.318394554,
65,Grenada,13.029073447,5.5467218874,7.3461891644,5.474302710700001,9.9761479372,10.823096488
66,Guadeloupe,7.6648056848,8.688614935499999,5.2329275738,9.743666616699999,5.7534520712,
67,Guatemala,33.757293507,33.682099839,31.388088276999998,29.398689734,27.256699434,26.071566509
68,Guinea-Bissau,,4.9142762151,3.8406247100999997,2.7630558707,3.5905957807999997,1.1487047532999999
69,Guyana,18.401139547,20.414049607,19.518687506,19.415375674,18.40897217,14.834536865999999
70,Haiti,10.077142328999999,9.9897391245,9.2899739284,10.013519654,9.4834158304,
71,Holy See,0.0,0.0,0.0,0.0,,
72,Honduras,83.002611365,73.091804944,65.780224819,56.491322634,55.550797483000004,40.979885918
73,Hungary,1.2570502525,1.5660077875,1.4890375728,2.2601932413999997,2.0711639634,2.4871986353
74,Iceland,0.30708569533,0.30562907633,0.60865754492,0.90843848509,0.30101532469000003,0.89714260082
75,India,3.75088806,3.5818622233,3.6551383088,3.3868579160000003,3.2221550908,3.1248767930000003
76,Indonesia,0.58602936424,0.55042523844,0.50053291665,0.57704977378,0.49396614618,0.43453458883999996
77,Iran (Islamic Republic of),,2.6633730622,2.4991683746,,,
78,Iraq,8.457193431,10.070253211,,,,
79,Iraq (Central Iraq),9.240018046,11.110767519000001,10.081194261,,,
80,Iraq (Kurdistan Region),2.1088909438999996,2.1960769963,,,,
81,Ireland,1.1284234904000001,1.1049900919,1.1238742886,0.66631989373,0.7879398354699999,0.8625620913200002
82,Isle of Man,2.3659119408000002,2.381377627,3.5933307781,1.2014609765000002,0.0,
83,Israel,1.6809048941,1.6419227613999998,1.375057676,1.3787059616,1.2825281194,1.492021506
84,Italy,0.88511138935,0.8343467932199999,0.78629858005,0.77420220897,0.65937977288,0.61146763208
85,Jamaica,38.668209173,42.011956442,34.954856064,41.784502654,46.589375558,56.387733973
86,Japan,0.33405082623000004,0.28835470409,0.30818773673,0.2836266795,0.28333652426,0.23999486504999998
87,Jordan,1.9901203504,1.6903408291,1.9060813187999999,1.6295128738999998,1.3711123991999998,1.3591066275
88,Kazakhstan,7.5575217847000005,6.5781289662999995,5.2246425816,4.8543109182999995,,5.06083427
89,Kenya,5.3536632418,5.382251216,4.9357535128,4.7223860460000004,4.8173827643000005,4.9102822146
90,Kiribati,7.5216953901,,,,,
91,Kosovo under UNSCR 1244,4.9855971637,2.2476837893,3.0189922055,2.331002331,2.0922805858,2.621518296
92,Kuwait,1.8215197327000001,,,,,
93,Kyrgyzstan,6.7596618248,5.2518515830000005,5.4752134521,5.1182002193,4.3955486756,4.1358851529
94,Latvia,3.3832475116000005,2.4450475562,3.1664044488,3.3538989075,3.4949715464,4.151510663
