Series Name,Series Code,Country Name,Country Code,2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019]
Industrial production index,5.01.01.01.indust,Mexico,MEX,1,1,1,1,1,1,1,1,1,1
Industrial production index,5.01.01.01.indust,Marshall Islands,MHL,0,0,0,0,0,0,0,0,0,0
Industrial production index,5.01.01.01.indust,North Macedonia,MKD,1,1,1,1,1,1,1,1,1,1
Industrial production index,5.01.01.01.indust,Mali,MLI,0,0,0,0,0,0,0,0,0,0
Industrial production index,5.01.01.01.indust,Myanmar,MMR,0,0,0,0,0,0,0,0,0,0
Industrial production index,5.01.01.01.indust,Montenegro,MNE,0,0,1,1,1,1,1,1,1,1
Industrial production index,5.01.01.01.indust,Mongolia,MNG,0,0,0,0,0,0,0,0,1,1
Industrial production index,5.01.01.01.indust,Mozambique,MOZ,0,0,0,0,0,0,0,0,0,0
Industrial production index,5.01.01.01.indust,Mauritania,MRT,0,0,0,0,0,0,0,0,0,0
Industrial production index,5.01.01.01.indust,Mauritius,MUS,0,0,1,1,1,1,1,1,1,1
Industrial production index,5.01.01.01.indust,Malawi,MWI,1,1,0,0,0,0,0,1,1,1
Industrial production index,5.01.01.01.indust,Malaysia,MYS,1,1,1,1,1,1,1,1,1,1
Industrial production index,5.01.01.01.indust,Namibia,NAM,0,0,0,0,0,0,0,0,0,0
Industrial production index,5.01.01.01.indust,Niger,NER,0,0,0,0,0,0,0,0,0,0
Industrial production index,5.01.01.01.indust,Nigeria,NGA,1,1,0,0,0,0,0,0,0,0
Industrial production index,5.01.01.01.indust,Nicaragua,NIC,1,1,1,1,1,1,1,1,1,1
Industrial production index,5.01.01.01.indust,Nepal,NPL,0,0,0,0,0,0,0,0,1,1
Industrial production index,5.01.01.01.indust,Nauru,NRU,..,..,..,..,..,..,..,0,0,0
Industrial production index,5.01.01.01.indust,Pakistan,PAK,1,1,1,1,1,1,1,1,1,0
Industrial production index,5.01.01.01.indust,Panama,PAN,0,0,0,0,0,0,0,0,0,0
Industrial production index,5.01.01.01.indust,Peru,PER,1,1,1,1,1,1,1,1,1,1
Industrial production index,5.01.01.01.indust,Philippines,PHL,1,1,1,1,1,1,1,1,1,1
Industrial production index,5.01.01.01.indust,Palau,PLW,0,0,0,0,0,0,0,0,0,0
Industrial production index,5.01.01.01.indust,Papua New Guinea,PNG,0,0,0,0,0,0,0,0,0,0
Industrial production index,5.01.01.01.indust,Poland,POL,1,1,1,1,1,1,1,1,1,1
Industrial production index,5.01.01.01.indust,Paraguay,PRY,0,0,0,0,0,0,0,0,1,1
Industrial production index,5.01.01.01.indust,West Bank and Gaza,PSE,0,1,1,1,1,1,1,1,1,1
Industrial production index,5.01.01.01.indust,Romania,ROU,1,1,1,1,1,1,1,1,1,1
Industrial production index,5.01.01.01.indust,Russian Federation,RUS,1,1,1,1,1,1,1,1,1,1
Industrial production index,5.01.01.01.indust,Rwanda,RWA,0,0,0,0,0,0,0,0,0,0
Industrial production index,5.01.01.01.indust,Sudan,SDN,0,0,0,0,0,0,0,0,0,0
Industrial production index,5.01.01.01.indust,Senegal,SEN,1,1,1,1,1,1,1,1,1,1
Industrial production index,5.01.01.01.indust,Solomon Islands,SLB,0,0,0,0,0,0,0,0,1,0
Industrial production index,5.01.01.01.indust,Sierra Leone,SLE,0,0,0,0,0,0,0,0,0,0
Industrial production index,5.01.01.01.indust,El Salvador,SLV,1,1,1,1,1,1,1,1,1,1
Industrial production index,5.01.01.01.indust,Somalia,SOM,0,0,0,0,0,0,0,0,0,0
Industrial production index,5.01.01.01.indust,Serbia,SRB,1,1,1,1,1,1,1,1,0,1
Industrial production index,5.01.01.01.indust,South Sudan,SSD,..,..,..,0,0,0,0,0,0,0
Industrial production index,5.01.01.01.indust,Sao Tome and Principe,STP,0,0,0,0,0,0,0,0,0,0
Industrial production index,5.01.01.01.indust,Suriname,SUR,0,0,0,0,0,0,0,0,0,0
Industrial production index,5.01.01.01.indust,Eswatini,SWZ,0,0,0,0,0,0,0,0,0,0
Industrial production index,5.01.01.01.indust,Seychelles,SYC,0,0,0,0,0,1,1,1,1,1
Industrial production index,5.01.01.01.indust,Syrian Arab Republic,SYR,0,1,1,1,0,0,0,0,0,0
Industrial production index,5.01.01.01.indust,Chad,TCD,0,0,0,0,0,0,0,0,0,0
Industrial production index,5.01.01.01.indust,Togo,TGO,0,0,0,0,0,0,0,0,0,0
Industrial production index,5.01.01.01.indust,Thailand,THA,1,1,1,1,1,1,1,1,1,1
Industrial production index,5.01.01.01.indust,Tajikistan,TJK,0,0,0,0,0,0,0,0,0,0
Industrial production index,5.01.01.01.indust,Turkmenistan,TKM,0,0,0,0,0,0,0,0,0,0
Industrial production index,5.01.01.01.indust,Timor-Leste,TLS,0,0,0,0,0,0,0,0,0,0
Industrial production index,5.01.01.01.indust,Tonga,TON,0,0,0,0,0,0,0,0,0,0
Industrial production index,5.01.01.01.indust,Trinidad and Tobago,TTO,1,1,1,1,1,1,1,1,1,1
Industrial production index,5.01.01.01.indust,Tunisia,TUN,1,1,1,1,1,1,1,1,1,1
Industrial production index,5.01.01.01.indust,Turkey,TUR,1,1,1,1,1,1,1,1,1,1
Industrial production index,5.01.01.01.indust,Tuvalu,TUV,..,..,..,0,0,0,0,0,0,0
Industrial production index,5.01.01.01.indust,Tanzania,TZA,0,0,0,0,0,0,0,0,0,0
Industrial production index,5.01.01.01.indust,Uganda,UGA,0,0,0,0,0,0,0,0,1,0
Industrial production index,5.01.01.01.indust,Ukraine,UKR,1,1,1,1,1,1,1,1,1,1
Industrial production index,5.01.01.01.indust,Uruguay,URY,1,1,1,1,1,1,1,1,1,1
Industrial production index,5.01.01.01.indust,Uzbekistan,UZB,0,0,0,0,0,0,0,0,0,0
Industrial production index,5.01.01.01.indust,St. Vincent and the Grenadines,VCT,0,0,0,0,0,0,0,0,0,0
Industrial production index,5.01.01.01.indust,"Venezuela, RB",VEN,0,0,0,0,0,0,0,0,0,0
Industrial production index,5.01.01.01.indust,Vietnam,VNM,0,0,0,0,0,0,0,0,1,0
Industrial production index,5.01.01.01.indust,Vanuatu,VUT,0,0,0,0,0,0,0,0,0,0
Industrial production index,5.01.01.01.indust,Samoa,WSM,0,0,0,0,0,0,0,0,0,0
Industrial production index,5.01.01.01.indust,Kosovo,XKX,..,..,..,0,0,0,0,0,0,0
Industrial production index,5.01.01.01.indust,"Yemen, Rep.",YEM,0,0,0,0,0,0,0,0,0,0
Industrial production index,5.01.01.01.indust,South Africa,ZAF,1,1,1,1,1,1,1,1,1,1
Industrial production index,5.01.01.01.indust,Zambia,ZMB,0,0,0,0,0,0,0,0,1,1
Industrial production index,5.01.01.01.indust,Zimbabwe,ZWE,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Data from database: Statistical Capacity Indicators,,,,,,,,,,,,,
Last Updated: 08/19/2020,,,,,,,,,,,,,
